fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2021-03-31,USD,10047000000,7197000000,1763000000,1763000000,1653000000,2185000000,2850000000,681000000.0,,203000000,203000000,289000000,,65000000.0,1353000000,243000000,,3570000000,2864000000,949000000,,,,706000000,238000000,313000000,,,551000000,1915000000,155000000,6477000000,-141000000.0,-4058000000,12000000,1231000000
2021-06-30,USD,10691000000,7818000000,2623000000,2623000000,1765000000,2026000000,2873000000,918000000.0,,204000000,204000000,289000000,,67000000.0,1170000000,234000000,,3626000000,2892000000,836000000,,,,734000000,240000000,313000000,,,553000000,2056000000,181000000,7065000000,-401000000.0,-3348000000,12000000,1232000000
2021-09-30,USD,11153000000,7988000000,2440000000,2440000000,1902000000,2229000000,3165000000,1001000000.0,,203000000,203000000,289000000,,69000000.0,1168000000,249000000,,4017000000,3564000000,1048000000,,,312000000.0,453000000,269000000,1000000,312000000.0,,582000000,2204000000,183000000,7136000000,-1356000000.0,-2425000000,12000000,1230000000
2021-12-31,USD,12419000000,8583000000,2535000000,2535000000,1955000000,2708000000,3836000000,1069000000.0,,323000000,323000000,289000000,,69000000.0,1073000000,312000000,,4922000000,4240000000,1321000000,,,312000000.0,682000000,348000000,1000000,312000000.0,,661000000,2293000000,333000000,7497000000,-2130000000.0,-1451000000,12000000,1222000000
2022-03-31,USD,66915000000,13369000000,4740000000,4740000000,2431000000,3681000000,53546000000,1406000000.0,,27348000000,27348000000,23083000000,,72000000.0,1792000000,725000000,,11582000000,5581000000,1476000000,,,312000000.0,6001000000,370000000,1475000000,312000000.0,,2157000000,3793000000,1047000000,55333000000,-941000000.0,-665000000,16000000,1410000000
2022-06-30,USD,67502000000,13462000000,4964000000,4964000000,2648000000,4053000000,54040000000,1441000000.0,,26664000000,26664000000,24193000000,,76000000.0,1028000000,769000000,,12333000000,5523000000,1518000000,,,312000000.0,6810000000,422000000,2465000000,312000000.0,,3199000000,3693000000,1118000000,55169000000,-1893000000.0,-218000000,16000000,1632000000
2022-09-30,USD,67811000000,14420000000,3398000000,3398000000,3369000000,4340000000,53391000000,1486000000.0,,25714000000,25714000000,24187000000,,80000000.0,2193000000,1120000000,,13269000000,6691000000,2337000000,,,312000000.0,6578000000,424000000,2466000000,,,2890000000,3220000000,1610000000,54542000000,-2815000000.0,-152000000,16000000,1625000000
2022-12-31,USD,67580000000,15019000000,4835000000,4835000000,3771000000,4128000000,52561000000,1973000000.0,,24118000000,24118000000,24177000000,,83000000.0,1020000000,1265000000,,12830000000,6369000000,2493000000,,,93000000.0,6461000000,396000000,2467000000,,,2863000000,3017000000,1664000000,54750000000,,-131000000,16000000,1618000000
2023-03-31,USD,67634000000,15658000000,3825000000,3825000000,4235000000,4042000000,51976000000,1500000000.0,,23291000000,23291000000,24177000000,,84000000.0,2114000000,1442000000,,12940000000,6577000000,2518000000,,,0.0,6363000000,381000000,2467000000,,,2848000000,3053000000,1874000000,54694000000,-3362000000.0,-270000000,16000000,1611000000
2023-06-30,USD,67967000000,16505000000,3841000000,3841000000,4567000000,4314000000,51462000000,2002000000.0,,22598000000,22598000000,24177000000,,90000000.0,2444000000,1339000000,,12831000000,7572000000,2779000000,,,753000000.0,5259000000,393000000,1714000000,753000000.0,,2860000000,2557000000,1787000000,55136000000,-3430000000.0,-243000000,16000000,1627000000
2023-09-30,USD,67626000000,16688000000,3561000000,3561000000,4445000000,5055000000,50938000000,2073000000.0,,21950000000,21950000000,24186000000,,93000000.0,2224000000,1403000000,,12656000000,7627000000,2245000000,,,752000000.0,5029000000,395000000,1715000000,752000000.0,,2862000000,3138000000,1767000000,54970000000,,56000000,17000000,1629000000
2023-12-31,USD,67885000000,16768000000,3933000000,3933000000,4351000000,5385000000,51117000000,,,21363000000,21363000000,24262000000,,99000000.0,1840000000,1259000000,,11993000000,6689000000,2055000000,,,751000000.0,5304000000,535000000,1717000000,751000000.0,,3003000000,3339000000,1850000000,55892000000,,723000000,17000000,1628000000
2024-03-31,USD,67895000000,17084000000,4190000000,4190000000,4652000000,5069000000,50811000000,,,20741000000,20741000000,24262000000,,106000000.0,1845000000,1328000000,,11697000000,6474000000,1418000000,,,750000000.0,5223000000,530000000,1718000000,750000000.0,,2998000000,4306000000,1776000000,56198000000,,846000000,17000000,1639000000
2024-06-30,USD,67886000000,17465000000,4113000000,4113000000,4991000000,5773000000,50421000000,,,20138000000,20138000000,24262000000,,113000000.0,1227000000,1361000000,,11348000000,6195000000,1699000000,,,,5153000000,526000000,1719000000,,,2245000000,4496000000,1716000000,56538000000,,1111000000,17000000,1637000000
2024-09-30,USD,69636000000,18735000000,3897000000,3897000000,5374000000,7270000000,50901000000,2316000000.0,,19572000000,19572000000,24839000000,,137000000.0,647000000,1547000000,,12651000000,7500000000,2530000000,,,0.0,5151000000,518000000,1720000000,,,2238000000,4970000000,1751000000,56985000000,,1882000000,17000000,1636000000
2024-12-31,USD,69226000000,19049000000,3787000000,3787000000,5734000000,6933000000,50177000000,2425000000.0,,18930000000,18930000000,24839000000,,149000000.0,1345000000,1250000000,,11658000000,7281000000,1990000000,,,109000000.0,4377000000,491000000,1721000000,,,2212000000,5291000000,1816000000,57568000000,,2364000000,17000000,1634000000
2025-03-31,USD,71550000000,21595000000,6049000000,6049000000,6416000000,6286000000,49955000000,1921000000.0,,18363000000,18363000000,24839000000,,,1261000000,1583000000,,13669000000,7703000000,2206000000,,,947000000.0,5966000000,567000000,3217000000,947000000.0,,4731000000,4550000000,1839000000,57881000000,,3073000000,17000000,1626000000
2025-06-30,USD,74820000000,24519000000,4442000000,4442000000,6677000000,5686000000,50301000000,2128000000.0,,17812000000,17812000000,25083000000,,,1425000000,6289000000,,15155000000,9843000000,3080000000,,,0.0,5312000000,668000000,3218000000,,,3886000000,6763000000,1085000000,59665000000,,3945000000,17000000,1630000000
2025-09-30,USD,76891000000,27000000000,4808000000,4808000000,7313000000,6513000000,49891000000,2205000000.0,,17250000000,17250000000,25083000000,,,2435000000,5931000000,,16101000000,11700000000,3483000000,,,873000000.0,4401000000,650000000,2347000000,873000000.0,,3870000000,7344000000,1078000000,60790000000,,5188000000,17000000,1641000000
